FS480 UB	990.8238	997.2907	99.9959	
FS484 UB	990.9114	997.4164	99.9477	
FS485 UB	990.4933	997.0018	99.9773	
FS486 UB	990.8461	996.9840	99.9895	
FS487 UB	990.6485	997.0410	99.9629	
FS488 CHA	990.8723	996.9358	99.9715	
FS500 T	990.1646	998.9898	100.0267	
FS501 UB	990.2917	994.5208	100.0085	
FS502 UB	990.0894	996.3892	99.9994	
FS503 B	990.1357	996.6471	99.9606	
FS504 STO	990.2757	996.8604	99.9611	
FS505 UB	989.8329	998.8835	99.9778	
FS506 UB	989.8680	998.7513	99.9558	
FS507 UB	990.0523	996.2578	99.9755	
FS508 UB	990.3253	995.9501	99.9828	
FS509 B	990.0941	994.8638	99.9835	
FS510 UB	989.5739	998.9533	99.9659	
FS511 B	990.0986	994.9423	99.9776	
FS512 UB	990.0701	994.9099	99.9736	
FS513 T	989.5999	998.8957	99.9632	
FS514 B	989.6640	996.6714	99.9528	
FS515 UB	989.7167	996.5746	99.9509	
FS516 B	989.8603	999.1151	99.9762	
FS517 B	989.9633	999.2004	99.9623	
FS518 UB	989.9095	999.3943	99.9555	
FS519 UB	989.9101	999.0080	99.9623	
FS520 B	989.8445	997.3371	99.9467	
FS521 UB	989.9325	994.8064	99.9868	
FS522 UB	990.4405	997.0729	100.0059	
FS523 UB	990.3351	997.2163	99.9973	
FS524 B	989.9339	994.8034	99.9835	
FS525 UB	989.6410	996.2458	99.9833	
FS526 UB	990.0583	994.6737	99.9656	
FS527 UB	990.2510	998.6809	99.9932	
FS528 HOR	990.2860	997.2034	99.9576	
FS529 UB	990.2533	997.3195	99.9605	
FS530 B	990.2172	997.0133	99.9595	
FS531 UB	990.3400	998.6213	99.9910	
FS532 UB	990.3802	998.5514	99.9747	
FS533 HOO	990.2981	998.9587	100.0031	
FS534 UB	990.3667	998.5722	99.9581	
FS537 T	990.2629	999.2242	99.9867	
FS538 UB	990.1251	995.2031	99.9821	
FS539 UB	989.3597	997.5943	99.9470	
FS540 B	989.2184	997.8250	99.9492	
FS541 UB	990.2999	998.9338	99.9592	
FS542 CHA	990.2324	999.3600	99.9559	
FS543 UB	990.4804	999.0335	99.9530	
FS544 UB	990.0370	995.2716	99.9911	
FS545 CHA	990.1758	995.2362	99.9813	
FS546 DB	988.8463	997.7997	99.9641	
FS551 UB	989.6111	995.7924	99.9635	
FS552 UB	989.6072	995.5932	99.9734	
FS553 UB	989.5273	995.6284	99.9713	
FS554 UB	990.2275	995.3134	99.9870	
FS555 B	989.4112	997.9854	99.9509	
FS556 UB	989.3695	998.1020	99.9607	
FS557 UB	990.1935	995.1536	99.9582	
FS558 UB	990.0180	995.3586	99.9815	
FS559 B	989.2946	999.1610	99.9820	
FS560 UB	989.4111	999.0865	99.9848	
FS561 UB	989.3909	999.2112	99.9719	
FS562 UB	989.1924	999.1861	99.9860	
FS563 B	988.8223	998.3519	99.9678	
FS564 B	988.7814	998.4252	99.9674	
FS565 UB	988.8810	998.1702	99.9655	
FS566 B	990.1560	995.3700	99.9721	
FS567 UB	989.4018	999.0747	99.9678	
FS568 UB	989.1910	999.2019	99.9704	
FS569 UB	990.0771	995.2557	99.9548	
FS573 UB	989.3134	999.3133	99.9589	
FS574 HOR	989.9631	995.3339	99.9681	
FS575 UB	989.2956	997.1063	99.9603	
FS576 B	989.3318	997.3239	99.9558	
FS577 UB	989.2211	998.7751	99.9844	
FS578 UB	988.9693	997.1672	99.9623	
FS579 UB	988.9184	997.5062	99.9596	
FS580 UB	988.7090	997.5739	99.9596	
FS581 UB	988.7311	997.3833	99.9615	
FS582 UB	989.3578	998.6427	99.9754	
FS583 UB	989.4740	994.6476	99.9661	
FS584 B	989.6305	994.6274	99.9628	
FS585 UB	989.4276	998.7278	99.9591	
FS586 UB	989.7451	994.7104	99.9579	
FS587 UB	989.1026	996.9404	99.9564	
FS588 UB	989.5128	994.2528	99.9625	
